datetime,temp1,humidity,temp2,humidity2,pressure
5/16/2025 17:27,nan,nan,27.77,43.57,961.23
5/16/2025 17:30,nan,nan,27.59,43.63,961.21
5/16/2025 17:39,nan,nan,26.33,46.45,961.11
5/16/2025 17:42,nan,nan,26.73,45.69,961.11
5/16/2025 17:42,nan,nan,26.63,45.84,961.13
5/16/2025 17:45,nan,nan,26.57,46.23,961.16
5/16/2025 17:48,nan,nan,26.22,46.66,961.17
5/16/2025 17:48,nan,nan,26.19,46.86,961.18
5/16/2025 17:51,nan,nan,26.04,47.1,961.1
5/16/2025 17:54,nan,nan,22.98,48.16,961.02
5/16/2025 17:57,nan,nan,16.84,67.4,961.09
5/16/2025 18:00,nan,nan,16.3,70.42,961.09
5/16/2025 18:03,nan,nan,16.04,71.42,961.06
5/16/2025 18:06,nan,nan,15.94,71.99,961.07
5/16/2025 18:09,nan,nan,15.99,72.16,960.99
5/16/2025 18:12,nan,nan,15.87,72.74,961.02
5/16/2025 18:15,nan,nan,15.69,73.72,961
5/16/2025 18:18,nan,nan,15.57,74.26,961.04
5/16/2025 18:21,nan,nan,15.66,73.72,961
5/16/2025 18:24,nan,nan,15.6,74.63,961.01
5/16/2025 18:27,nan,nan,15.79,74.21,961.02
5/16/2025 18:30,nan,nan,15.71,73.5,960.98
5/16/2025 18:33,nan,nan,15.81,73.71,961.05
5/16/2025 18:36,nan,nan,15.86,73.02,960.98
5/16/2025 18:39,nan,nan,16.01,72.75,960.97
5/16/2025 18:42,nan,nan,16.22,71.98,960.96
5/16/2025 18:45,nan,nan,16.05,71.65,961.02
5/16/2025 18:48,nan,nan,16.03,71.58,960.98
5/16/2025 18:51,nan,nan,16.31,72.5,960.99
5/16/2025 18:54,nan,nan,16,72.95,961.05
5/16/2025 18:57,nan,nan,15.87,73.83,960.97
5/16/2025 19:00,nan,nan,15.88,73.27,960.98
5/16/2025 19:03,nan,nan,15.8,74.35,960.96
5/16/2025 19:06,nan,nan,15.9,73.64,960.92
5/16/2025 19:09,nan,nan,15.61,74.47,960.93
5/16/2025 19:12,nan,nan,15.79,73.65,960.92
5/16/2025 19:15,nan,nan,15.74,73.53,960.9
